Date,Site,Trial_Name,Polygon_ID,Corner_1.Latitude,Corner_1.Longitude,Corner_2.Latitude,Corner_2.Longitude,Corner_3.Latitude,Corner_3.Longitude,Corner_4.Latitude,Corner_4.Longitude,Central_coordinate_Latitude,Central_coordinate_Longitude,Species_1_Acacia_mearnsii,Species_2_Acacia_melanoxylon,Species_3_Alnus_acuminata,Species_1_Acacia_mearnsii_Perc,Species_2_Acacia_melanoxylon_Perc,Species_3_Alnus_acuminata_Perc,Class,Dominant_Species,coord_flag
17.10.24,MUKURA,Nyacyabira,P001,-1.97137,29.51376,-1.97125,29.51377,-1.97127,29.51364,-1.97144,29.51365,-1.9713325,29.513705,0,0,0,0,0,0,No Invasive,Non-invasive,OK
17.10.24,MUKURA,Nyacyabira,P002,-1.97087,29.5147,-1.97102,29.51472,-1.97111,29.51475,-1.97109,29.5148,-1.9710225,29.5147425,0,0,21,0,0,75,High,Alnus acuminata,OK
17.10.24,MUKURA,Nyacyabira,P003,-1.97153,29.51459,-1.97173,29.51469,-1.97185,29.51472,-1.97192,29.51464,-1.9717575,29.51466,0,0,0,0,0,0,No Invasive,Non-invasive,OK
17.10.24,MUKURA,Nyacyabira,P004,-1.97236,29.51468,-1.97247,29.51467,-1.97262,29.5147,-1.97257,29.51482,-1.972505,29.5147175,0,0,0,0,0,0,No Invasive,Non-invasive,OK
17.10.24,MUKURA,Nyacyabira,P005,-1.97318,29.51501,-1.97318,29.51501,-1.97323,29.51501,-1.97323,29.51503,-1.973205,29.515015,0,0,0,0,0,0,No Invasive,Non-invasive,OK
17.10.24,MUKURA,Nyacyabira,P006,-1.97344,29.51528,-1.97355,29.51543,-1.97362,29.51538,-1.97361,29.51535,-1.973555,29.51536,0,0,0,0,0,0,No Invasive,Non-invasive,OK
17.10.24,MUKURA,Nyacyabira,P007,-1.97437,29.51558,-1.97444,29.51561,-1.97449,29.51554,-1.97439,29.51551,-1.9744225,29.51556,0,0,0,0,0,0,No Invasive,Non-invasive,OK
17.10.24,MUKURA,Nyacyabira,P008,-1.97446,29.516,-1.97449,29.51593,-1.973454,29.51594,-1.97459,29.51597,-1.9742485,29.51596,0,0,0,0,0,0,No Invasive,Non-invasive,OK
17.10.24,MUKURA,Nyacyabira,P009,-1.97506,29.51626,-1.97503,29.51623,-1.97523,29.51642,-1.97503,29.51647,-1.9750875,29.516345,0,0,0,0,0,0,No Invasive,Non-invasive,OK
17.10.24,MUKURA,Nyacyabira,P010,-1.97504,29.51674,-1.97506,29.51682,-1.97514,29.51681,-1.97515,29.51675,-1.9750975,29.51678,0,0,0,0,0,0,No Invasive,Non-invasive,OK
17.10.24,MUKURA,Nyacyabira,P011,-1.97534,29.51523,-1.97536,29.51535,-1.9753,29.5153,-1.97529,29.51514,-1.9753225,29.515255,0,0,0,0,0,0,No Invasive,Non-invasive,OK
18.10.24,MUKURA,Nyacyabira,P012,-1.97392,29.51499,-1.97396,29.51505,-1.97391,29.51505,-1.97382,29.51496,-1.9739025,29.5150125,0,0,0,0,0,0,No Invasive,Non-invasive,OK
18.10.24,MUKURA,Nyacyabira,P013,-1.9745,29.51464,-1.97457,29.51477,-1.97464,29.51469,-1.9746,29.51462,-1.9745775,29.51468,0,0,0,0,0,0,No Invasive,Non-invasive,OK
18.10.24,MUKURA,Nyacyabira,P014,-1.9741,29.51418,-1.97412,29.51406,-1.97402,29.51401,-1.97397,29.51417,-1.9740525,29.514105,0,0,0,0,0,0,No Invasive,Non-invasive,OK
18.10.24,MUKURA,Nyacyabira,P015,-1.97417,29.51332,-1.97415,29.5134,-1.97421,29.51349,-1.97426,29.51339,-1.9741975,29.5134,0,0,0,0,0,0,No Invasive,Non-invasive,OK
18.10.24,MUKURA,Nyacyabira,P016,-1.97436,29.5118,-1.9744,29.51191,-1.97444,29.51193,-1.97449,29.51177,-1.9744225,29.5118525,0,0,0,0,0,0,No Invasive,Non-invasive,OK
18.10.24,MUKURA,Nyacyabira,P017,-1.97473,29.51103,-1.97478,29.51098,-1.97472,29.51092,-1.97469,29.51093,-1.97473,29.510965,0,0,0,0,0,0,No Invasive,Non-invasive,OK
18.10.24,MUKURA,Mukabere,P018,-1.97422,29.51045,-1.9743,29.51039,-1.97429,29.51034,-1.97414,29.51039,-1.9742375,29.5103925,2,0,0,5,0,0,Low,Acacia mearnsii,OK
18.10.24,MUKURA,Mukabere,P019,-1.97451,29.50991,-1.97446,29.50988,-1.97443,29.50987,-1.97448,29.50995,-1.97447,29.5099025,0,0,0,0,0,0,No Invasive,Non-invasive,OK
